,bg_mean,subject,session,scan,bg_size,bg_std,dvars,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,gcor,ghost_y,m_tsnr,mean_fd,num_fd,outlier,perc_fd,quality,snr
1294,40.2551525203,sub-70077,session_1,bart,107835,65.1111207437,1.14789056763,0.498372912771,119.289776554,814.605995819,31429,188.265533351,2.32113527598,2.30818666667,2.50902333333,2.1593625,0.0245841622558,0.0242026373744,78.0328674316,0.0285563004062,0.0,,0.0,0.00296618018727,12.5110117368
1295,49.1557287082,sub-11088,session_1,rest,103993,78.5510010299,1.16098239576,0.535572800889,80.9709924409,814.945145894,35271,176.413117276,2.08205672532,2.02701666667,2.32803981498,1.912625,0.0957911520397,0.040083758533,63.3010940552,0.0581954877329,0.0,,0.0,0.00625461940789,10.3747264224
1296,60.1294762013,sub-11143,session_1,rest,99909,82.8576973261,1.0765209212,0.574014712417,66.1743616714,812.295078572,39355,183.693698987,2.04751341152,1.96346682271,2.33533333333,1.87201011158,0.011779237623,0.0441092699766,68.85546875,0.0416267322903,0.0,,0.0,0.00554414901316,9.80349568942
1297,41.8116749715,sub-60074,session_1,bart,106706,66.2210008106,1.16094791427,0.510492334834,105.466401821,782.883613725,32558,184.286321345,2.25774518864,2.28243333333,2.40705333333,2.09479262486,0.0305348512583,0.0180434957147,58.2952690125,0.0958821794138,2.0,,0.746268656716,0.0070670193633,11.8222860443
1298,56.4621873324,sub-50066,session_1,stopsignal,102001,77.2483451308,1.09198632649,0.573050412644,54.0666618846,684.466417951,37263,162.78494799,2.09613350386,2.11976,2.18847350726,1.98531261833,0.0146101761745,0.0330966450274,54.67527771,0.0556619856652,0.0,,0.0,0.00609987940217,8.86059651883
1299,60.1441723131,sub-11143,session_1,taskswitch,99991,83.3038928914,1.0734647016,0.573681311488,65.5981805577,811.849832398,39273,182.775676159,2.04670479282,1.95083682171,2.33680333333,1.8807101121,0.00680125278066,0.0441718623042,68.645401001,0.037782560868,0.0,,0.0,0.00478349014423,9.7456409805
1300,58.6844893773,sub-11052,session_1,bht,100437,85.591749805,1.15683657121,0.5678347539,62.5581931634,798.338140376,38827,190.769061956,2.27043155559,2.25189,2.44301647251,2.1274125,0.0729300013512,0.0437635555863,72.5924453735,0.0340010519848,0.0,,0.0,0.00365103544304,9.32727911503
1301,57.2799177412,sub-60017,session_1,rest,100222,92.1528521791,1.10203432489,0.571204003387,48.3451571784,732.83327728,39042,179.237870517,2.29847578273,2.23505,2.55264666667,2.1283475,0.0854309696386,0.0817645713687,29.0534591675,0.270020990271,4.0,,2.61437908497,0.0209326474342,7.95236674667
1302,64.4408698379,sub-70021,session_1,scap,97690,97.905710768,1.23603445176,0.577635393487,60.4684211442,883.667106771,41574,223.276071671,2.40921716607,2.3813,2.65092666667,2.2152175,0.0289305569831,0.0398394949734,60.5640678406,0.0922945926961,0.0,,0.0,0.00574012391753,9.02569523104
1303,59.1462434037,sub-60080,session_1,taskswitch,100734,83.7398979073,0.972675090746,0.576073777999,54.3051972553,736.07306087,38530,170.224059846,2.12530722292,2.09684,2.33362666667,1.96186,0.0322271668045,0.0531585365534,36.0255470276,0.195721286692,5.0,,2.39234449761,0.0156622983173,8.78999233657
1304,60.7071258941,sub-60078,session_1,scap,103675,88.8206550135,1.21939547351,0.561416565063,52.5926827768,760.291794304,35589,175.172463724,2.1297621968,2.10224666667,2.32344648202,1.9777725,0.0446176980926,0.0315975509584,37.7523078918,0.307818586968,8.0,,2.7397260274,0.0127518636426,8.55985349566
1305,47.7121877157,sub-10290,session_1,scap,105083,75.9843588922,1.08681149515,0.524235401749,91.932191909,838.428308013,34181,192.600765819,2.10981945112,2.04846,2.36831685488,1.9358325,0.0359713542205,0.0486532486975,38.2448234558,0.220148058278,2.0,,0.684931506849,0.0148264072165,11.0342223089
1306,40.2822409682,sub-50058,session_1,bart,104444,60.0018679721,0.874015276137,0.524888008108,111.11981943,741.867095376,34820,173.193728907,2.17304313666,2.1743801728,2.36258666667,1.99748,0.106517592399,0.0317536108196,23.1575164795,0.252861000624,14.0,,5.22388059701,0.0241994640449,12.3640666607
1307,55.2983538893,sub-50066,session_1,rest,101924,74.4415339771,1.11956427815,0.572440448021,57.0405062691,681.52587685,37340,161.360036268,2.07053027347,2.09427,2.15765683814,1.96439511709,0.0108058368234,0.0340814851224,55.3147659302,0.124769100319,0.0,,0.0,0.00596874263158,9.1551831409
1308,50.9102674217,sub-11097,session_1,rest,102878,75.4292340684,1.04442936847,0.545485734063,75.2933422731,763.939292297,36386,199.82441338,2.21933412574,2.24816333333,2.10474,2.31015666667,0.0169264656695,0.0599175132811,59.7633018494,0.11010939966,0.0,,0.0,0.00487482861842,10.1278940683
